param_classifier__n_estimators,param_classifier__max_depth,param_classifier__max_features,mean_test_score,rank_test_score
200,10,log2,0.7451135313355911,1
200,10,sqrt,0.7451135313355911,1
200,,sqrt,0.741903777107716,3
200,,log2,0.741903777107716,3
100,,sqrt,0.739321000022073,5
100,,log2,0.739321000022073,5
100,10,log2,0.7392942671062522,7
100,10,sqrt,0.7392942671062522,7
100,5,log2,0.719212703942983,9
100,5,sqrt,0.719212703942983,9
200,5,log2,0.7162327120828369,11
200,5,sqrt,0.7162327120828369,11
